,Country,Target country,Strikes in Iraq,Strikes in Syria,Location,Aircraft type,Number of aircrafts,Ammunition,Target 1,No of target 1,Status of target 1,Target 2,No of target 2,Status of target 2,Target 3,No of target 3,Status of target 3,Target 4,No of target 4,Status of target 4,Target 5,No of target 5,Status of target 5,Casualties?,Casualties estimate
10/9/2014,,Syria,,9,Kobane,,,,,,,,,,,,,,,,,,,,
10/9/2014,,Syria,,5,Kobane,,,,,,,,,,,,,,,,,,,,
10/10/2014,,Iraq,1,,NW Baghdad,,,,,,,,,,,,,,,,,,,,
10/10/2014,,Syria,,7,Kobane,,,,,,,,,,,,,,,,,,,,
10/10/2014,,Syria,,1,Dayr Az Zawr,,,,,,,,,,,,,,,,,,,,
10/10/2014,,Syria,,1,Al Hasakah,,,,,,,,,,,,,,,,,,,,
10/11/2014,* 1 dutch,Iraq,1,,Tal Afar,,,,,,,,,,,,,,,,,,,,
10/11/2014,,Iraq,2,,NW of Hit,,,,,,,,,,,,,,,,,,,,
10/11/2014,,Syria,,6,Kobane,,,,,,,,,,,,,,,,,,,,
10/12/2014,UK,Iraq,2,,Hit,,,,,,,,,,,,,,,,,,,,
10/12/2014,UK,Iraq,2,,Kirkuk,,,,,,,,,,,,,,,,,,,,
10/12/2014,UK,Iraq,1,,Ramadi,,,,,,,,,,,,,,,,,,,,
10/12/2014,,Syria,,3,kobane,,,,,,,,,,,,,,,,,,,,
10/12/2014,,Syria,,1,Raqaa,,,,,,,,,,,,,,,,,,,,
10/13/2014,,Syria,,7,kobane,,,,,,,,,,,,,,,,,,,,
10/13/2014,,Syria,,1,Raqaa,,,,,,,,,,,,,,,,,,,,
10/14/2014,,Iraq,1,,Kirkuk,,,,,,,,,,,,,,,,,,,,
10/14/2014,,Syria,,21,Kobane,,,,,,,,,,,,,,,,,,,,
10/14/2014,,Syria,,1,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
10/15/2014,,Iraq,4,,Bayji,,,,,,,,,,,,,,,,,,,,
10/15/2014,,Iraq,1,,Haditah Dam,,,,,,,,,,,,,,,,,,,,
10/15/2014,,Syria,,18,Kobane,,,,,,,,,,,,,,,,,,,,
10/16/2014,,Syria,,14,Kobane,,,,,,,,,,,,,,,,,,,,
10/17/2014,Bayji (DK + Unknown),Iraq,2,,Bayji (DK + Unknown),,,,,,,,,,,,,,,,,,,,
10/17/2014,,Syria,,6,Kobane,,,,,,,,,,,,,,,,,,,,
10/17/2014,,Syria,,1,Shadadi,,,,,,,,,,,,,,,,,,,,
10/18/2014,,Iraq,5,,Bayji,,,,,,,,,,,,,,,,,,,,
10/18/2014,,Iraq,5,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
10/18/2014,,Syria,,2,Kobane,,,,,,,,,,,,,,,,,,,,
10/18/2014,,Syria,,1,Ain Aissa,,,,,,,,,,,,,,,,,,,,
10/18/2014,,Syria,,1,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
10/18/2014,,Syria,,7,Dhiban,,,,,,,,,,,,,,,,,,,,
10/18/2014,,Syria,,3,Khusham,,,,,,,,,,,,,,,,,,,,
10/18/2014,,Syria,,1,Sharra,,,,,,,,,,,,,,,,,,,,
10/19/2014,,Iraq,3,,Bayji,,,,,,,,,,,,,,,,,,,,
10/19/2014,,Iraq,5,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/19/2014,,Iraq,1,,Fallujah Dam,,,,,,,,,,,,,,,,,,,,
10/19/2014,,Iraq,1,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
10/19/2014,,Syria,,11,kobane,,,,,,,,,,,,,,,,,,,,
10/19/2014,,Syria,,2,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
10/19/2014,France - fremgår ikke af centcom,Iraq,1,,Tikrit,,,,,,,,,,,,,,,,,,,,
10/20/2014,*with UK and France,Iraq,2,,SE Fallujah,,,,,,,,,,,,,,,,,,,,
10/20/2014,,Iraq,3,,Bayji oil refineri,,,,,,,,,,,,,,,,,,,,
10/20/2014,,Iraq,1,,Bayji,,,,,,,,,,,,,,,,,,,,
10/20/2014,,Syria,,,,,,,,,,,,,,,,,,,,,,,
10/20/2014,,Syria,,6,Kobane,,,,,,,,,,,,,,,,,,,,
10/21/2014,,Syria,,4,Kobane,,,,,,,,,,,,,,,,,,,,
10/21/2014,Fremgår ikke af Centcom,Iraq,1,,Unknown place Iraq (FR),,,,,,,,,,,,,,,,,,,,
10/21/2014,partner nation(s),Iraq,1,,Mosul dam,,,,,,,,,,,,,,,,,,,,
10/21/2014,,Iraq,1,,Bayji,,,,,,,,,,,,,,,,,,,,
10/21/2014,,Iraq,1,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/22/2014,Partner nations(s) & France and possible Denmark,Iraq,12,,Mosul dam,,,,,,,,,,,,,,,,,,,,
10/22/2014,,Syria,,6,Kobane,,,,,,,,,,,,,,,,,,,,
10/23/2014,"Partner nations(s) & 2 France, possible danes and dutch",Iraq,4,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
10/23/2014,,Iraq,1,,South of Bayji,,,,,,,,,,,,,,,,,,,,
10/23/2014,,Iraq,4,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/23/2014,,Syria,,4,Kobane,,,,,,,,,,,,,,,,,,,,
10/23/2014,,Syria,,2,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
10/24/2014,"UK - fremgår ikke af Centcom, men chris extra notes",Iraq,1,,Tikrit,,,,,,,,,,,,,,,,,,,,
10/24/2014,,Iraq,3,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
10/24/2014,* with France and UK,Iraq,5,,Baijy,,,,,,,,,,,,,,,,,,,,
10/24/2014,,Iraq,3,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/24/2014,UK,Iraq,1,,Zumar,,,,,,,,,,,,,,,,,,,,
10/24/2014,,Syria,,6,Kobane,,,,,,,,,,,,,,,,,,,,
10/25/2014,"* partner nation(s) & France, possible danes and dutch",Iraq,3,,Baijy,,,,,,,,,,,,,,,,,,,,
10/25/2014,,Iraq,11,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
10/25/2014,,Iraq,4,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/25/2014,,Iraq,2,,Qurayt al Hajjaj,,,,,,,,,,,,,,,,,,,,
10/25/2014,,Iraq,1,,Hayt al Arabi,,,,,,,,,,,,,,,,,,,,
10/25/2014,,Iraq,1,,Aynzalah,,,,,,,,,,,,,,,,,,,,
10/25/2014,,Syria,,1,Kobane,,,,,,,,,,,,,,,,,,,,
10/26/2014,* With Partner nation(s) possible danes and dutch,Iraq,9,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
10/26/2014,,Iraq,3,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/26/2014,,Syria,,5,Kobane,,,,,,,,,,,,,,,,,,,,
10/27/2014,* with partner nation(s),Iraq,3,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
10/27/2014,,Iraq,2,,Bayji,,,,,,,,,,,,,,,,,,,,
10/27/2014,,Iraq,1,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/27/2014,,Iraq,1,,Zumar,,,,,,,,,,,,,,,,,,,,
10/27/2014,,Syria,,4,Kobane,,,,,,,,,,,,,,,,,,,,
10/28/2014,* With partner nation(s),Iraq,2,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/28/2014,,Iraq,4,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
10/28/2014,,Iraq,1,,West of Baghdad,,,,,,,,,,,,,,,,,,,,
10/28/2014,,Iraq,1,,Sinjar,,,,,,,,,,,,,,,,,,,,
10/28/2014,,Iraq,1,,NW Haditha,,,,,,,,,,,,,,,,,,,,
10/28/2014,,Syria,,4,Kobane,,,,,,,,,,,,,,,,,,,,
10/29/2014,,Iraq,3,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/29/2014,,Iraq,3,,Sinjar,,,,,,,,,,,,,,,,,,,,
10/29/2014,,Syria,,8,Kobane,,,,,,,,,,,,,,,,,,,,
10/30/2014,With partner nation(s),Iraq,1,,Baijy,,,,,,,,,,,,,,,,,,,,
10/30/2014,,Iraq,1,,Ramadi,,,,,,,,,,,,,,,,,,,,
10/30/2014,,Syria,,10,Kobane,,,,,,,,,,,,,,,,,,,,
10/30/2014,,Syria,,1,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
10/30/2014,,Syria,,1,Ar Raqqah,,,,,,,,,,,,,,,,,,,,
10/31/2014,With partner nations(s) plus france,Iraq,1,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/31/2014,,Iraq,1,,Baijy,,,,,,,,,,,,,,,,,,,,
10/31/2014,,Iraq,1,,Al Qaim,,,,,,,,,,,,,,,,,,,,
10/31/2014,,Iraq,1,,Tikrit,,,,,,,,,,,,,,,,,,,,
